modelName,modelIndex,fileName,time,acc,recall,precision,dice,delta_t_peak,delta_peak,delta_auc,ratio_t_peak,ratio_peak,ratio_auc,aif_mse,aif_sse,aif_normalized_cross_correlation,aif_normalized_mutual_information,hausdorff,mean_surface_distance,median_surface_distance,std_surface_distance,max_surface_distance,overlap_dice,overlap_volume_similarity,overlap_false_negative,overlap_false_positive,peak_t,auc,peak
target,0,35673135,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,3.3629833289773963,0.331867856764034
target,0,40403582,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,7.061486592923008,0.5146660825019537
target,0,40418168,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,7.119260913220413,0.389608221439321
target,0,40460768,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,11.530116087521863,0.5322708905829892
target,0,41122617,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,11.97921748126424,0.45483652590466606
target,0,41202961,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,13.538595419812408,0.47315825445512794
target,0,41219634,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,10,8.104288358340826,0.3449852304458231
target,0,41242565,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,7.509426194651026,0.45793079562699324
target,0,41286222,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,4.228828115111285,0.3376803388213301
target,0,41297385,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,6.792066431236976,0.38352636435457094
target,0,41310029,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,11,15.247893104656404,0.3941499611329442
target,0,41449076,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,7.704932959990198,0.4251988493798466
target,0,41451750,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,8.41999058236426,0.40686365472145786
target,0,42005025,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,11,7.669269099983375,0.4187161087622721
target,0,42121701,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,2.3500603399601245,0.35368299662609026
target,0,42123446,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,11.812421179072194,0.3349926951728917
target,0,42125160,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,12,8.380442057027592,0.381856720977628
target,0,42147328,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,9.552178945862448,0.4424930057598159
target,0,42174976,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,6.739964753200004,0.44687952498108807
target,0,42175470,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,10,10.895966763101525,0.5330768655227348
target,0,42191880,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,7.299173599983663,0.36048343677756045
target,0,42204402,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,7.551172641754737,0.3478688231526116
target,0,42216394,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,10.344104181635052,0.3916845776665005
target,0,42218812,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,8.11323616384415,0.43665390378663144
target,0,42222879,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,10.610357193941402,0.41904877516298744
target,0,42224330,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,10,8.687064783430056,0.3491656745192706
target,0,42224343,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,5.151617807383567,0.35044018363491175
target,0,42234636,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,10,7.35420576124689,0.44562593035621073
target,0,42252861,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,8.267689169377057,0.32401439089695444
target,0,42268224,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,6.786156447550366,0.4297606041398827
target,0,42272900,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,16.06064434166939,0.4177696755175789
target,0,42275061,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,1.8528467527128532,0.4261675423522578
target,0,42292501,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,6,9.937723690234133,0.5158860824114077
target,0,42302629,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,6.38553101844884,0.486019874615315
target,0,42306110,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,9,3.6674948516660715,0.24902820357983493
target,0,42308045,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,8.811416771672818,0.4125500878574835
target,0,42320316,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,4.24938063744254,0.29891082254572254
target,0,42351313,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,7,4.981341712392379,0.3268816500513586
target,0,42352525,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,8,12.077810068078064,0.521756680711808
target,0,42383725,0,1.0,1.0,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,inf,inf,inf,inf,inf,inf,inf,inf,11,10.74764895062923,0.583298555761541
parker2003,1.390625,35673135,0,0.9979044596354166,0.6035598705501618,0.34001823154056515,0.43498542356416126,0,0.01917406410267758,0.697653691901921,0,-5.773947324196779,0.6976536919019208,0.008466160054742988,0.5841650437772662,0.0,0.5018455366953843,60.034538791999786,inf,inf,inf,inf,inf,inf,inf,inf,9,4.08137550434464,0.3129048937763659
parker2003,1.328125,40403582,0,0.9989089965820312,0.9448329448329449,0.35514018691588783,0.5162385915596719,0,0.2166717764689448,5.089779043640354,0,-42.02538093419366,-5.0897790436403545,0.011633669697092428,0.8027232090993776,0.0,0.4445860313942511,46.77001851446042,inf,inf,inf,inf,inf,inf,inf,inf,8,2.087527452053139,0.298901840360906
parker2003,1.328125,40418168,0,0.9980604383680556,0.7784090909090909,0.3729842931937173,0.5043182790537757,0,0.12664392969806193,5.49288339332858,0,-32.58498573945665,-5.492883393328581,0.009988920111106765,0.6892354876663668,0.0,0.4366335124647077,60.80659307235578,inf,inf,inf,inf,inf,inf,inf,inf,8,1.5299755375076325,0.26201338232497445
parker2003,1.265625,40460768,0,0.9986809624565972,0.7557840616966581,0.20851063829787234,0.3268482499626901,0,0.11011633071316645,6.345182733482345,0,-20.726711289634178,-6.345182733482345,0.026794754382125894,1.8488380523666867,0.0,0.46462912208675566,43.902809533317196,inf,inf,inf,inf,inf,inf,inf,inf,9,5.062861884791977,0.42116105900103157
parker2003,1.34375,41122617,0,0.9983206854926215,0.6653205451792025,0.26711409395973157,0.30002276428406244,0,0.09023080658016802,6.460560304941577,0,-20.137196724022488,-6.460560304941576,0.02662541070939216,1.8371533389480592,0.0,0.48753933091726975,40.53208892007082,inf,inf,inf,inf,inf,inf,inf,inf,9,4.811994501231705,0.3578494690250655
parker2003,1.328125,41202961,0,0.9987470838758681,0.45331529093369416,0.17986577181208055,0.257543726201146,0,0.29257855130793975,11.970263834014077,0,-61.864421619521785,-11.970263834014077,0.036521409476202436,2.5199772538579683,0.0,0.4928972677658611,63.18112439888249,inf,inf,inf,inf,inf,inf,inf,inf,9,1.5448375860490022,0.1803565277708799
